SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
VT99,2/6/2009 1:00,2/6/2009 4:05,25.068,1.898,1.531,23,65
VT99,2/6/2009 5:05,2/6/2009 7:05,35.136,2.287,1.547,22,100
VT99,2/6/2009 8:05,2/6/2009 10:05,38.189,2.01,1.526,22,100
VT99,2/6/2009 11:05,2/6/2009 13:05,37.83,2.513,1.54,22,100
VT99,2/6/2009 14:05,2/6/2009 16:05,23.261,2.843,1.599,22,100
VT99,2/6/2009 17:05,2/6/2009 19:05,23.193,3.333,1.644,22,100
VT99,2/6/2009 20:05,2/6/2009 22:05,23.04,3.169,1.645,22,100
VT99,2/6/2009 23:05,2/7/2009 1:05,16.333,2.604,1.671,22,100
VT99,2/7/2009 2:00,2/7/2009 5:05,20.705,0.591,1.678,23,65
VT99,2/7/2009 6:05,2/7/2009 8:05,20.901,2.902,1.741,22,100
VT99,2/7/2009 9:05,2/7/2009 11:05,23.346,1.811,1.758,22,100
VT99,2/7/2009 12:05,2/7/2009 14:05,22.306,2.622,1.774,22,100
VT99,2/7/2009 15:05,2/7/2009 17:05,17.724,9.417,1.778,22,100
VT99,2/7/2009 18:05,2/7/2009 20:05,14.639,13.206,1.702,22,100
VT99,2/7/2009 21:05,2/7/2009 23:05,8.956,7.395,1.656,22,100
VT99,2/8/2009 0:05,2/8/2009 2:05,11.913,6.441,1.682,22,100
VT99,2/8/2009 3:00,2/8/2009 6:05,11.804,7.997,1.841,23,65
VT99,2/8/2009 7:05,2/8/2009 9:05,8.592,10.297,1.787,22,100
VT99,2/8/2009 10:05,2/8/2009 12:05,6.269,5.142,1.752,22,100
VT99,2/8/2009 13:05,2/8/2009 15:05,6.64,0.857,1.774,22,100
VT99,2/8/2009 16:05,2/8/2009 18:05,6.18,0.633,1.773,22,100
VT99,2/8/2009 19:05,2/8/2009 21:05,11.163,1.33,1.729,22,100
VT99,2/8/2009 22:05,2/9/2009 0:05,17.213,2.106,1.672,22,100
VT99,2/9/2009 1:05,2/9/2009 3:05,16.475,1.265,1.65,22,100
VT99,2/9/2009 4:00,2/9/2009 7:05,11.628,1.164,1.636,23,65
VT99,2/9/2009 8:05,2/9/2009 10:05,12.464,0.992,1.618,22,100
VT99,2/9/2009 11:05,2/9/2009 13:05,16.174,1.039,1.61,22,100
VT99,2/9/2009 14:05,2/9/2009 16:05,22.052,1.465,1.607,22,100
VT99,2/9/2009 17:05,2/9/2009 19:05,15.013,3.352,1.621,22,100
VT99,2/9/2009 20:05,2/9/2009 22:05,20.775,2.915,1.631,22,100
VT99,2/9/2009 23:05,2/10/2009 1:05,19.557,1.055,1.607,22,100
VT99,2/10/2009 2:05,2/10/2009 4:05,16.596,2.008,1.604,22,100
VT99,2/10/2009 5:00,2/10/2009 8:05,27.183,0.86,1.587,23,65
VT99,2/10/2009 9:05,2/10/2009 11:05,23.013,0.073,1.6,22,100
VT99,2/10/2009 12:05,2/10/2009 14:05,20.319,0,1.637,22,100
VT99,2/10/2009 15:10,2/10/2009 17:10,13.482,5.45,1.682,22,100
VT99,2/10/2009 18:10,2/10/2009 20:10,13.26,3.614,1.792,22,100
VT99,2/10/2009 21:10,2/10/2009 23:10,11.677,5.115,1.785,22,100
VT99,2/11/2009 0:10,2/11/2009 2:10,9.465,4.539,1.795,22,100
VT99,2/11/2009 3:10,2/11/2009 5:10,9.666,5.45,1.809,22,100
VT99,2/11/2009 6:05,2/11/2009 9:05,8.009,6.19,1.893,24,70
VT99,2/11/2009 10:05,2/11/2009 12:05,6.673,6.17,1.877,22,100
VT99,2/11/2009 13:05,2/11/2009 15:05,6.499,7.507,1.839,22,100
